,Experiment,Model,Sample Size,SHAP Match %,Top Features
1053,Auto Premium,XGBoost,500,100.0,"Annual kilometers: 180.4234, Age: 162.3800, Business Use: 108.1350, State: 106.6877, Gender: 9.9660"
1054,Auto Premium,Ridge,1000,80.0,"Age: 169.9877, Business Use: 145.4629, State: 29.5064, Gender: 17.5036, Sum Insured Amount: 9.6521"
1055,Auto Premium,MLPRegressor,1000,40.0,"Age: 4.2287, Year: 3.0781, Sum Insured Amount: 2.4665, Annual kilometers: 0.6586, Number of Claims: 0.5545"
1056,Auto Premium,CatBoost,500,100.0,"Annual kilometers: 177.7421, Age: 162.0074, Business Use: 101.5688, State: 71.0093, Gender: 14.2067"
1057,Auto Premium,ElasticNet,500,80.0,"Age: 152.6259, Annual kilometers: 118.9811, State: 39.5380, Business Use: 32.7063, Year: 10.3665"
1058,Auto Premium,CatBoost,500,100.0,"Annual kilometers: 182.0249, Age: 156.4284, Business Use: 100.2558, State: 82.8408, Gender: 8.1494"
1059,Auto Premium,CatBoost,500,100.0,"Annual kilometers: 169.1521, Age: 142.2530, Business Use: 102.8009, State: 87.1905, Gender: 12.8423"
1060,Auto Premium,CatBoost,1000,100.0,"Annual kilometers: 202.2748, Age: 181.5244, Business Use: 115.5500, State: 74.6762, Gender: 13.5287"
1061,Auto Premium,MLPRegressor,100,40.0,"Sum Insured Amount: 58.2926, Age: 34.9358, Year: 3.9692, Number of Claims: 3.4095, State: 2.8885"
1062,Auto Premium,ExtraTrees,100,60.0,"Annual kilometers: 164.2035, Age: 136.6043, Business Use: 109.3027, Sum Insured Amount: 15.1752, Make Model: 13.5952"
1063,Auto Premium,Gradient Boosting,500,100.0,"Annual kilometers: 201.8250, Age: 177.8480, Business Use: 105.4270, State: 85.8992, Gender: 12.3707"
1064,Auto Premium,HistGradientBoosting,500,100.0,"Annual kilometers: 186.4871, Age: 150.7838, Business Use: 96.1766, State: 63.5003, Gender: 17.5544"
1065,Auto Premium,Random Forest,100,80.0,"Age: 133.0866, Annual kilometers: 99.2144, State: 35.3013, Business Use: 32.7484, Parking Location: 7.9105"
1066,Auto Premium,CatBoost,500,100.0,"Annual kilometers: 179.8193, Age: 171.8509, Business Use: 114.3592, State: 58.9646, Gender: 5.6401"
1067,Auto Premium,Random Forest,2000,100.0,"Annual kilometers: 197.0024, Age: 176.4061, Business Use: 103.7115, State: 60.1435, Gender: 6.5805"
1068,Auto Premium,MLPRegressor,100,40.0,"Age: 47.4457, Sum Insured Amount: 12.4851, Number of Claims: 4.2295, State: 4.1160, Year: 3.4695"
1069,Auto Premium,MLPRegressor,2000,60.0,"Sum Insured Amount: 53.4535, Age: 28.8033, Year: 3.5482, State: 2.9607, Business Use: 1.0085"
1070,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 200.4618, Age: 175.5627, Business Use: 112.3630, State: 83.0554, Gender: 17.5247"
1071,Auto Premium,Gradient Boosting,2000,100.0,"Annual kilometers: 187.8272, Age: 164.8246, Business Use: 105.1268, State: 81.8672, Gender: 14.2597"
1072,Auto Premium,ExtraTrees,2000,100.0,"Annual kilometers: 182.7475, Age: 164.7782, Business Use: 116.5958, State: 64.7619, Gender: 12.8988"
1073,Auto Premium,Ridge,500,80.0,"Age: 181.3128, Business Use: 142.2805, State: 77.2261, Annual kilometers: 29.5395, Parking Location: 29.1773"
1074,Auto Premium,MLPRegressor,500,60.0,"Age: 9.1651, Sum Insured Amount: 3.5889, Year: 3.5588, Annual kilometers: 1.4092, Business Use: 0.6326"
1075,Auto Premium,Gradient Boosting,100,60.0,"Age: 162.4408, Annual kilometers: 154.8936, Business Use: 63.1309, Sum Insured Amount: 34.7447, Year: 33.9168"
1076,Auto Premium,Gradient Boosting,2000,100.0,"Annual kilometers: 200.5198, Age: 166.0319, Business Use: 103.1794, State: 87.7132, Gender: 15.8703"
1077,Auto Premium,Random Forest,2000,100.0,"Annual kilometers: 193.6868, Age: 167.7624, Business Use: 109.2566, State: 66.5245, Gender: 5.3187"
1078,Auto Premium,Gradient Boosting,1000,100.0,"Annual kilometers: 184.9808, Age: 165.8093, Business Use: 103.8023, State: 83.2086, Gender: 15.0085"
1079,Auto Premium,MLPRegressor,1000,60.0,"Age: 17.0328, Sum Insured Amount: 15.4877, Year: 3.7879, Annual kilometers: 1.9554, State: 1.7297"
1080,Auto Premium,MLPRegressor,2000,60.0,"Age: 17.9229, Sum Insured Amount: 12.0832, Year: 3.5319, Annual kilometers: 1.3157, Business Use: 1.2691"
1081,Auto Premium,MLPRegressor,100,60.0,"Sum Insured Amount: 41.5321, Age: 26.2411, Year: 2.9632, State: 1.1347, Annual kilometers: 1.0989"
1082,Auto Premium,Ridge,2000,100.0,"Age: 172.6287, Annual kilometers: 156.1632, Business Use: 58.1590, State: 31.9307, Gender: 22.6748"
1083,Auto Premium,CatBoost,2000,100.0,"Annual kilometers: 193.5679, Age: 168.2565, Business Use: 110.0117, State: 82.7191, Gender: 17.6867"
1084,Auto Premium,HistGradientBoosting,100,100.0,"Age: 175.2459, Annual kilometers: 158.8933, State: 77.6049, Business Use: 63.5743, Gender: 16.2436"
1085,Auto Premium,CatBoost,1000,100.0,"Annual kilometers: 198.4025, Age: 166.2132, Business Use: 97.6700, State: 90.8605, Gender: 18.1783"
1086,Auto Premium,ElasticNet,2000,60.0,"Age: 161.3456, Annual kilometers: 51.0535, Business Use: 43.5849, Sum Insured Amount: 7.0488, Payment Frequency: 6.2397"
1087,Auto Premium,Random Forest,100,60.0,"Age: 146.1591, Annual kilometers: 77.9866, Business Use: 38.4707, Sum Insured Amount: 21.8064, Parking Location: 16.8322"
1088,Auto Premium,Ridge,1000,100.0,"Age: 181.0581, Annual kilometers: 166.1769, Business Use: 75.2803, State: 46.9848, Gender: 18.0884"
1089,Auto Premium,Gradient Boosting,2000,100.0,"Annual kilometers: 188.3665, Age: 155.9320, Business Use: 106.8225, State: 72.7801, Gender: 15.9627"
1090,Auto Premium,Random Forest,1000,100.0,"Annual kilometers: 203.0635, Age: 169.2370, Business Use: 96.0394, State: 78.7429, Gender: 4.1141"
1091,Auto Premium,ExtraTrees,1000,100.0,"Annual kilometers: 177.7917, Age: 158.0969, Business Use: 97.9989, State: 36.5474, Gender: 13.5106"
1092,Auto Premium,Random Forest,1000,80.0,"Annual kilometers: 195.8718, Age: 184.3124, Business Use: 107.6117, State: 19.7331, Year: 4.7859"
1093,Auto Premium,CatBoost,2000,100.0,"Annual kilometers: 208.8141, Age: 171.8113, Business Use: 106.9161, State: 79.8966, Gender: 15.8139"
1094,Auto Premium,XGBoost,1000,100.0,"Annual kilometers: 190.3882, Age: 161.3395, Business Use: 110.2976, State: 81.0712, Gender: 11.2018"
1095,Auto Premium,Random Forest,2000,100.0,"Annual kilometers: 190.2764, Age: 167.6585, Business Use: 113.3023, State: 60.1172, Gender: 7.8281"
1096,Auto Premium,CatBoost,100,80.0,"Annual kilometers: 150.2211, Business Use: 100.7059, Age: 95.6564, State: 51.2554, Make Model: 16.6297"
1097,Auto Premium,Random Forest,2000,100.0,"Annual kilometers: 202.3360, Age: 166.8884, Business Use: 111.1422, State: 36.1193, Gender: 6.9545"
1098,Auto Premium,MLPRegressor,2000,60.0,"Sum Insured Amount: 32.7996, Age: 20.3838, Year: 3.7526, Business Use: 0.8484, State: 0.4470"
1099,Auto Premium,MLPRegressor,500,60.0,"Sum Insured Amount: 15.9968, Age: 3.6373, Year: 3.2045, Annual kilometers: 0.6766, State: 0.6631"
1100,Auto Premium,Ridge,1000,100.0,"Age: 178.6188, Annual kilometers: 66.8711, Business Use: 66.7867, State: 63.6081, Gender: 18.2431"
1101,Auto Premium,Ridge,1000,100.0,"Age: 155.4879, Annual kilometers: 73.3197, Business Use: 60.6397, State: 32.2682, Gender: 28.3495"
1102,Auto Premium,ElasticNet,1000,80.0,"Age: 164.0265, Annual kilometers: 28.2828, Business Use: 27.9939, State: 16.7224, Hire Car: 6.1337"
1103,Auto Premium,Gradient Boosting,100,80.0,"Annual kilometers: 158.5473, Age: 123.3734, State: 63.2621, Business Use: 47.3200, Make Model: 22.5989"
1104,Auto Premium,Random Forest,1000,80.0,"Annual kilometers: 195.6994, Age: 164.1236, Business Use: 99.0712, State: 30.0064, Sum Insured Amount: 7.5062"
1105,Auto Premium,CatBoost,500,100.0,"Annual kilometers: 187.1721, Age: 142.0171, Business Use: 87.2587, State: 75.3351, Gender: 10.4797"
1106,Auto Premium,Random Forest,1000,100.0,"Annual kilometers: 198.1871, Age: 183.9869, Business Use: 105.3446, State: 18.5792, Gender: 7.2568"
1107,Auto Premium,ExtraTrees,1000,100.0,"Annual kilometers: 188.8528, Age: 167.8115, Business Use: 106.5867, State: 30.2898, Gender: 5.3985"
1108,Auto Premium,MLPRegressor,2000,40.0,"Sum Insured Amount: 24.6924, Age: 8.2298, Year: 3.5934, Annual kilometers: 0.9750, Number of Claims: 0.6208"
1109,Auto Premium,Gradient Boosting,1000,100.0,"Annual kilometers: 179.5349, Age: 163.0302, Business Use: 103.8343, State: 72.2793, Gender: 12.7346"
1110,Auto Premium,Random Forest,100,60.0,"Age: 140.0707, Annual kilometers: 111.4495, Business Use: 30.4573, Sum Insured Amount: 23.0838, Year: 16.1433"
1111,Auto Premium,MLPRegressor,1000,40.0,"Sum Insured Amount: 4.4864, Age: 3.8811, Year: 3.5235, Number of Claims: 0.6270, Annual kilometers: 0.5721"
1112,Auto Premium,Gradient Boosting,500,100.0,"Annual kilometers: 211.5839, Age: 184.9345, Business Use: 88.7409, State: 77.8291, Gender: 8.2975"
1113,Auto Premium,CatBoost,1000,100.0,"Annual kilometers: 193.9086, Age: 159.1244, Business Use: 109.9857, State: 80.6182, Gender: 15.4384"
1114,Auto Premium,XGBoost,500,100.0,"Annual kilometers: 162.8237, Age: 160.3440, Business Use: 107.3935, State: 90.4071, Gender: 8.0709"
1115,Auto Premium,ExtraTrees,100,60.0,"Age: 126.5092, Annual kilometers: 125.5979, Business Use: 47.6187, Payment Frequency: 34.9324, Number of Claims: 23.6862"
1116,Auto Premium,XGBoost,500,100.0,"Age: 184.1193, Annual kilometers: 176.9841, Business Use: 112.5938, State: 78.5143, Gender: 8.1560"
1117,Auto Premium,ExtraTrees,2000,100.0,"Annual kilometers: 201.5002, Age: 168.9029, Business Use: 109.2958, State: 60.6471, Gender: 12.1038"
1118,Auto Premium,Gradient Boosting,100,80.0,"Age: 119.6734, Annual kilometers: 87.0934, Business Use: 54.2734, State: 35.8349, Year: 35.0946"
1119,Auto Premium,XGBoost,100,80.0,"Age: 142.9746, Annual kilometers: 141.7455, Business Use: 61.2305, State: 39.6444, Number of Claims: 19.8720"
1120,Auto Premium,CatBoost,100,80.0,"Annual kilometers: 134.9477, Age: 93.9082, State: 47.2695, Business Use: 42.2116, Make Model: 17.0963"
1121,Auto Premium,Gradient Boosting,2000,100.0,"Annual kilometers: 193.7201, Age: 166.1101, Business Use: 109.0712, State: 77.2898, Gender: 15.3510"
1122,Auto Premium,MLPRegressor,1000,40.0,"Sum Insured Amount: 58.5344, Age: 11.2308, Year: 2.9857, Annual kilometers: 1.0585, Number of Claims: 0.8700"
1123,Auto Premium,ExtraTrees,100,80.0,"Business Use: 170.1401, Age: 104.6767, Annual kilometers: 79.1256, State: 75.2279, Payment Frequency: 11.4534"
1124,Auto Premium,Ridge,1000,80.0,"Age: 162.7907, Business Use: 108.7186, State: 71.9164, Gender: 44.2420, Payment Frequency: 21.1078"
1125,Auto Premium,Random Forest,500,80.0,"Age: 179.6537, Annual kilometers: 144.0156, Business Use: 98.9224, State: 79.2927, Sum Insured Amount: 6.6684"
1126,Auto Premium,XGBoost,500,100.0,"Annual kilometers: 181.8228, Age: 172.2056, Business Use: 89.6759, State: 74.6168, Gender: 9.6342"
1127,Auto Premium,MLPRegressor,100,60.0,"Sum Insured Amount: 29.9443, Age: 26.7100, Year: 4.3003, State: 4.1199, Annual kilometers: 2.5007"
1128,Auto Premium,Gradient Boosting,2000,100.0,"Annual kilometers: 198.6230, Age: 168.7685, Business Use: 109.3733, State: 84.9187, Gender: 15.6996"
1129,Auto Premium,CatBoost,500,100.0,"Annual kilometers: 170.2476, Age: 162.8660, Business Use: 91.4151, State: 73.0341, Gender: 14.1750"
1130,Auto Premium,HistGradientBoosting,100,80.0,"Age: 181.0737, Business Use: 84.5057, State: 70.8039, Annual kilometers: 69.7530, Sum Insured Value Type: 56.3820"
1131,Auto Premium,CatBoost,100,80.0,"Age: 119.3041, Annual kilometers: 107.3263, Business Use: 100.0215, Gender: 29.5117, Make Model: 26.4984"
1132,Auto Premium,Random Forest,1000,100.0,"Annual kilometers: 204.4469, Age: 172.4038, Business Use: 102.1216, State: 45.8322, Gender: 4.7713"
1133,Auto Premium,Ridge,1000,100.0,"Annual kilometers: 206.4222, Age: 184.2202, Business Use: 67.5530, Gender: 23.5506, State: 21.0186"
1134,Auto Premium,ElasticNet,100,60.0,"Age: 186.7943, Annual kilometers: 99.9614, State: 75.2435, Sum Insured Amount: 68.6633, Make Model: 35.7945"
1135,Auto Premium,ExtraTrees,500,100.0,"Annual kilometers: 194.9726, Age: 150.2130, Business Use: 84.6473, State: 27.6502, Gender: 8.5717"
1136,Auto Premium,HistGradientBoosting,500,100.0,"Annual kilometers: 185.9795, Age: 181.0727, Business Use: 106.5674, State: 81.0461, Gender: 24.2496"
1137,Auto Premium,HistGradientBoosting,1000,100.0,"Annual kilometers: 191.4332, Age: 166.1936, Business Use: 111.6793, State: 79.1989, Gender: 14.7898"
1138,Auto Premium,Ridge,100,60.0,"Age: 136.6408, Business Use: 87.7005, Annual kilometers: 81.5609, Make Model: 70.3609, Number of Claims: 40.2154"
1139,Auto Premium,ExtraTrees,100,80.0,"Age: 141.4539, Annual kilometers: 90.2362, Business Use: 69.1125, Financing: 26.0952, Gender: 11.4924"
1140,Auto Premium,ExtraTrees,2000,100.0,"Annual kilometers: 193.1643, Age: 166.6899, Business Use: 119.5621, State: 48.4782, Gender: 12.1595"
1141,Auto Premium,MLPRegressor,500,20.0,"Sum Insured Amount: 14.1959, Age: 5.0063, Year: 3.6856, Number of Claims: 0.6766, Make Model: 0.3085"
1142,Auto Premium,Gradient Boosting,1000,100.0,"Annual kilometers: 201.9116, Age: 175.4645, Business Use: 100.8323, State: 91.6283, Gender: 15.2145"
1143,Auto Premium,HistGradientBoosting,100,60.0,"Age: 164.8275, Annual kilometers: 96.4948, State: 93.9693, Year: 56.0789, Sum Insured Amount: 53.3484"
1144,Auto Premium,Random Forest,100,40.0,"Age: 175.3047, Annual kilometers: 66.0897, Payment Frequency: 13.4094, Year: 13.3416, Number of Claims: 11.3042"
1145,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 196.4939, Age: 169.5694, Business Use: 102.9691, State: 84.9622, Gender: 18.0336"
1146,Auto Premium,Gradient Boosting,500,80.0,"Annual kilometers: 183.6182, Age: 175.1014, Business Use: 111.7589, State: 67.3294, Sum Insured Amount: 5.9080"
1147,Auto Premium,Gradient Boosting,1000,100.0,"Annual kilometers: 200.6203, Age: 164.0579, Business Use: 109.8072, State: 80.1445, Gender: 14.8215"
1148,Auto Premium,ElasticNet,100,60.0,"Age: 125.4789, State: 56.7626, Business Use: 37.6584, Number of Claims: 32.9444, Financing: 28.6341"
1149,Auto Premium,Gradient Boosting,1000,100.0,"Annual kilometers: 178.0543, Age: 172.6971, Business Use: 99.6668, State: 75.4462, Gender: 12.7561"
1150,Auto Premium,XGBoost,100,100.0,"Age: 175.3059, Annual kilometers: 148.8766, State: 62.8347, Business Use: 60.0224, Gender: 16.1343"
1151,Auto Premium,Random Forest,500,80.0,"Annual kilometers: 199.0891, Age: 143.5945, Business Use: 93.1550, State: 45.7931, Year: 4.6860"
1152,Auto Premium,HistGradientBoosting,100,80.0,"Age: 202.6284, Annual kilometers: 100.4208, State: 69.6932, Business Use: 51.2174, Sum Insured Value Type: 48.6331"
1153,Auto Premium,Gradient Boosting,100,80.0,"Age: 201.6306, Annual kilometers: 107.6299, Business Use: 84.1981, State: 67.2880, Sum Insured Amount: 41.4491"
1154,Auto Premium,Random Forest,2000,100.0,"Annual kilometers: 202.7914, Age: 170.3315, Business Use: 106.0813, State: 72.9769, Gender: 5.7334"
1155,Auto Premium,ElasticNet,500,80.0,"Age: 169.6230, Annual kilometers: 122.9423, State: 52.0377, Business Use: 32.3021, Parking Location: 13.7165"
1156,Auto Premium,Ridge,100,80.0,"Business Use: 157.0928, Annual kilometers: 124.3186, Age: 122.3213, State: 72.9345, Hire Car: 62.2823"
1157,Auto Premium,ExtraTrees,2000,100.0,"Annual kilometers: 206.7498, Age: 154.7081, Business Use: 103.6325, State: 39.1762, Gender: 11.1205"
1158,Auto Premium,Random Forest,2000,100.0,"Annual kilometers: 199.3743, Age: 161.8324, Business Use: 104.2883, State: 71.0224, Gender: 7.2523"
1159,Auto Premium,ExtraTrees,1000,100.0,"Annual kilometers: 167.5270, Age: 160.8451, Business Use: 107.5537, State: 64.4146, Gender: 8.7804"
1160,Auto Premium,HistGradientBoosting,500,100.0,"Annual kilometers: 171.9627, Age: 152.7317, Business Use: 125.0161, State: 82.2512, Gender: 16.6496"
1161,Auto Premium,Random Forest,1000,80.0,"Annual kilometers: 198.0218, Age: 157.2985, Business Use: 112.0538, State: 22.6000, Sum Insured Amount: 6.1318"
1162,Auto Premium,ElasticNet,100,80.0,"Age: 182.0433, Annual kilometers: 100.1540, Business Use: 38.7425, Number of Claims: 35.5969, State: 35.4646"
1163,Auto Premium,Gradient Boosting,2000,100.0,"Annual kilometers: 190.3300, Age: 168.6223, Business Use: 110.2400, State: 81.0016, Gender: 15.2144"
1164,Auto Premium,ElasticNet,500,60.0,"Age: 151.8056, Business Use: 28.5215, Sum Insured Amount: 22.7079, Annual kilometers: 19.8669, Year: 19.0599"
1165,Auto Premium,HistGradientBoosting,100,80.0,"Annual kilometers: 182.8149, Age: 140.9356, Business Use: 86.7261, Hire Car: 35.7215, State: 32.4566"
1166,Auto Premium,ExtraTrees,2000,100.0,"Annual kilometers: 206.9962, Age: 161.1597, Business Use: 119.6552, State: 35.1395, Gender: 12.5811"
1167,Auto Premium,Random Forest,1000,100.0,"Annual kilometers: 210.9270, Age: 180.8858, Business Use: 99.3919, State: 49.6682, Gender: 4.7885"
1168,Auto Premium,XGBoost,2000,100.0,"Annual kilometers: 187.1278, Age: 171.4181, Business Use: 108.2394, State: 90.1449, Gender: 15.0978"
1169,Auto Premium,Random Forest,1000,80.0,"Annual kilometers: 204.6106, Age: 167.2918, Business Use: 114.4271, State: 26.5747, Sum Insured Amount: 9.9485"
1170,Auto Premium,Ridge,100,60.0,"Age: 139.7563, Business Use: 113.7651, Hire Car: 65.6019, Payment Frequency: 62.5934, State: 59.8176"
1171,Auto Premium,XGBoost,100,80.0,"Annual kilometers: 149.1066, Age: 121.6753, State: 81.1745, Business Use: 78.6601, Year: 21.9478"
1172,Auto Premium,ElasticNet,100,60.0,"Age: 289.5450, State: 51.7124, Number of Claims: 31.8481, Annual kilometers: 30.1546, Hire Car: 20.3367"
1173,Auto Premium,XGBoost,100,80.0,"Annual kilometers: 130.7313, Age: 124.3824, Business Use: 71.9950, Year: 28.0562, State: 27.6884"
1174,Auto Premium,HistGradientBoosting,100,80.0,"Age: 135.8938, Business Use: 121.7207, Gender: 58.6661, Annual kilometers: 55.7088, Make Model: 41.7743"
1175,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 200.9998, Age: 167.4583, Business Use: 105.6155, State: 90.8929, Gender: 14.1517"
1176,Auto Premium,ElasticNet,1000,60.0,"Age: 163.1160, Annual kilometers: 124.8021, Business Use: 79.8496, Make Model: 6.0977, Sum Insured Amount: 5.9653"
1177,Auto Premium,ExtraTrees,500,100.0,"Annual kilometers: 192.4568, Age: 152.9561, Business Use: 100.7534, State: 30.8157, Gender: 8.1009"
1178,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 195.2326, Age: 172.7315, Business Use: 112.5415, State: 84.2863, Gender: 16.9464"
1179,Auto Premium,ElasticNet,500,80.0,"Age: 157.7439, Business Use: 80.3813, Annual kilometers: 56.9487, State: 34.7396, Year: 15.3014"
1180,Auto Premium,ElasticNet,500,80.0,"Age: 160.8356, State: 69.0062, Number of Claims: 16.5101, Business Use: 15.4956, Gender: 11.8290"
1181,Auto Premium,HistGradientBoosting,1000,100.0,"Annual kilometers: 190.8006, Age: 174.0231, Business Use: 110.0584, State: 80.5623, Gender: 17.8614"
1182,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 205.4657, Age: 160.0297, Business Use: 105.5163, State: 88.4860, Gender: 15.5426"
1183,Auto Premium,ExtraTrees,100,60.0,"Annual kilometers: 116.6932, Age: 107.4166, Business Use: 49.0370, Number of Claims: 22.8014, Financing: 16.2947"
1184,Auto Premium,Ridge,1000,100.0,"Age: 156.8192, Annual kilometers: 97.6386, State: 55.4917, Business Use: 55.0783, Gender: 25.3916"
1185,Auto Premium,Gradient Boosting,100,80.0,"Age: 204.9760, Business Use: 110.8314, Annual kilometers: 107.4979, State: 57.7290, Sum Insured Amount: 14.7152"
1186,Auto Premium,ExtraTrees,100,80.0,"Age: 213.1258, Business Use: 81.6068, Annual kilometers: 68.3516, Gender: 65.1591, Financing: 30.6764"
1187,Auto Premium,Ridge,500,60.0,"Age: 173.1753, State: 86.4262, Business Use: 50.8202, Financing: 26.7137, Payment Frequency: 26.2876"
1188,Auto Premium,HistGradientBoosting,500,100.0,"Age: 171.7204, Annual kilometers: 165.2117, Business Use: 104.4056, State: 78.7159, Gender: 16.8700"
1189,Auto Premium,MLPRegressor,1000,60.0,"Sum Insured Amount: 20.0442, Age: 11.4864, Year: 3.1496, Annual kilometers: 1.6122, State: 1.0035"
1190,Auto Premium,XGBoost,500,100.0,"Annual kilometers: 223.9969, Age: 165.2527, Business Use: 112.8506, State: 75.4498, Gender: 20.1708"
1191,Auto Premium,Ridge,500,60.0,"Age: 166.7656, Business Use: 80.6815, Financing: 33.2875, Sum Insured Value Type: 30.4129, Annual kilometers: 28.9329"
1192,Auto Premium,Ridge,500,60.0,"Age: 156.8640, Business Use: 108.0058, Financing: 31.9193, Sum Insured Amount: 31.6577, Gender: 22.7884"
1193,Auto Premium,ElasticNet,100,80.0,"Age: 165.1927, Annual kilometers: 61.6557, State: 33.8432, Business Use: 28.8919, Hire Car: 21.1694"
1194,Auto Premium,Ridge,2000,100.0,"Age: 164.5157, State: 79.4443, Business Use: 68.4579, Annual kilometers: 41.4305, Gender: 12.5086"
1195,Auto Premium,Gradient Boosting,1000,100.0,"Annual kilometers: 198.3543, Age: 164.1936, Business Use: 100.0646, State: 81.9420, Gender: 11.6293"
1196,Auto Premium,ElasticNet,2000,100.0,"Age: 160.3914, Annual kilometers: 157.0561, Business Use: 76.4989, State: 46.5989, Gender: 7.0387"
1197,Auto Premium,MLPRegressor,500,40.0,"Sum Insured Amount: 7.9588, Age: 3.7911, Year: 3.2377, Number of Claims: 0.6985, Annual kilometers: 0.4919"
1198,Auto Premium,ExtraTrees,100,60.0,"Age: 187.7416, Annual kilometers: 70.5812, Business Use: 70.2079, Number of Claims: 34.1946, Parking Location: 22.1006"
1199,Auto Premium,Ridge,1000,80.0,"Age: 149.8486, Business Use: 115.3022, State: 92.6811, Gender: 16.6331, Number of Claims: 13.0790"
1200,Auto Premium,ElasticNet,100,20.0,"Age: 194.1222, Make Model: 25.5519, Year: 16.8340, Parking Location: 16.3300, Sum Insured Amount: 14.2316"
1201,Auto Premium,MLPRegressor,1000,60.0,"Sum Insured Amount: 17.4649, Age: 3.8927, Year: 3.4190, Annual kilometers: 0.9993, State: 0.6468"
1202,Auto Premium,ExtraTrees,1000,100.0,"Annual kilometers: 170.9461, Age: 156.0067, Business Use: 106.4842, State: 37.5303, Gender: 7.6347"
1203,Auto Premium,ElasticNet,100,80.0,"Age: 212.6231, Annual kilometers: 131.7699, State: 42.6790, Business Use: 37.4844, Sum Insured Amount: 36.4270"
1204,Auto Premium,MLPRegressor,500,40.0,"Sum Insured Amount: 16.8499, Age: 7.2482, Year: 3.6497, Number of Claims: 0.8283, Annual kilometers: 0.6388"
1205,Auto Premium,MLPRegressor,1000,40.0,"Age: 9.0889, Year: 3.4785, Sum Insured Amount: 2.5000, Annual kilometers: 0.6833, Number of Claims: 0.6223"
1206,Auto Premium,Ridge,2000,80.0,"Age: 172.4305, Annual kilometers: 101.4964, Business Use: 53.5338, State: 30.8109, Hire Car: 13.7858"
1207,Auto Premium,Ridge,1000,80.0,"Age: 151.9866, State: 88.1187, Business Use: 66.3816, Annual kilometers: 50.9129, Hire Car: 21.1864"
1208,Auto Premium,XGBoost,500,100.0,"Annual kilometers: 181.4775, Age: 172.1782, Business Use: 92.0552, State: 61.5427, Gender: 17.6988"
1209,Auto Premium,Ridge,1000,60.0,"Age: 156.4051, Annual kilometers: 135.2804, Business Use: 55.4293, Make Model: 9.2950, Year: 7.5505"
1210,Auto Premium,ElasticNet,2000,80.0,"Age: 180.7340, State: 43.6157, Annual kilometers: 35.6667, Business Use: 32.0785, Year: 8.8863"
1211,Auto Premium,CatBoost,500,100.0,"Annual kilometers: 180.8775, Age: 162.7014, Business Use: 93.1235, State: 69.5934, Gender: 10.8483"
1212,Auto Premium,Gradient Boosting,1000,100.0,"Annual kilometers: 205.9335, Age: 167.1134, Business Use: 99.8991, State: 89.6006, Gender: 15.5253"
1213,Auto Premium,Ridge,1000,100.0,"Age: 153.9266, Annual kilometers: 146.5561, State: 85.3471, Business Use: 57.5152, Gender: 16.3324"
1214,Auto Premium,Random Forest,100,80.0,"Age: 182.4862, Annual kilometers: 67.1420, Business Use: 56.3794, State: 35.7967, Financing: 33.0198"
1215,Auto Premium,ElasticNet,100,40.0,"Age: 162.8423, Business Use: 106.5657, Year: 55.2843, Parking Location: 28.2252, Make Model: 22.4803"
1216,Auto Premium,ExtraTrees,2000,100.0,"Annual kilometers: 204.5138, Age: 165.3309, Business Use: 118.4293, State: 16.9282, Gender: 16.7091"
1217,Auto Premium,HistGradientBoosting,1000,100.0,"Annual kilometers: 214.6315, Age: 173.8260, Business Use: 112.9131, State: 81.6084, Gender: 14.5776"
1218,Auto Premium,ExtraTrees,2000,100.0,"Annual kilometers: 183.7097, Age: 160.2209, Business Use: 113.5505, State: 81.3965, Gender: 13.9144"
1219,Auto Premium,Gradient Boosting,500,100.0,"Annual kilometers: 181.5630, Age: 155.8579, Business Use: 106.1631, State: 90.3243, Gender: 14.1432"
1220,Auto Premium,Ridge,2000,100.0,"Age: 173.5451, Annual kilometers: 88.6030, Business Use: 63.8449, State: 63.1606, Gender: 11.3384"
1221,Auto Premium,ElasticNet,100,80.0,"Age: 220.4122, Business Use: 86.9160, Annual kilometers: 81.4726, Sum Insured Amount: 51.0736, State: 41.2179"
1222,Auto Premium,ExtraTrees,1000,100.0,"Annual kilometers: 194.2313, Age: 157.6430, Business Use: 107.6054, State: 33.4219, Gender: 9.5173"
1223,Auto Premium,Ridge,100,80.0,"Age: 125.9000, Financing: 89.9095, Business Use: 65.3903, State: 60.3712, Gender: 43.7474"
1224,Auto Premium,XGBoost,1000,100.0,"Annual kilometers: 207.2962, Age: 155.0166, Business Use: 102.6486, State: 75.0665, Gender: 13.5553"
1225,Auto Premium,HistGradientBoosting,2000,100.0,"Annual kilometers: 201.0981, Age: 166.8836, Business Use: 101.1255, State: 88.3609, Gender: 15.9062"
1226,Auto Premium,Gradient Boosting,500,100.0,"Annual kilometers: 192.5473, Age: 172.2057, Business Use: 104.8604, State: 73.8783, Gender: 8.9092"
1227,Auto Premium,XGBoost,100,80.0,"Age: 194.3142, Business Use: 116.3517, Annual kilometers: 98.9840, State: 49.0099, Year: 26.9833"
