Age,Gender,Driving Experience (Years),Annual Mileage,Vehicle Type,Vehicle Age (Years),Number of Past Accidents,Location (Risk Area),Credit Score,Coverage Type,Deductible Amount,Gender Factor,Vehicle Type Factor,Coverage Type Factor,Combined Risk Factor,Expected Premium
68,Female,45,6654,SUV,2,3,Urban,642,Standard,100,1.2,1.1,1.1,1.5,1089.0000000000002
23,Female,21,5561,Convertible,12,0,Suburban,460,Basic,250,1.2,1.4,1.0,1.0,840.0
57,Male,27,24240,Truck,12,1,Urban,608,Premium,100,1.5,1.3,1.3,1.0,1267.5
59,Female,19,7736,Sedan,16,0,Rural,724,Standard,500,1.2,1.6,1.1,1.0,1056.0
78,Female,17,22156,Truck,19,0,Urban,635,Premium,250,1.2,1.3,1.3,1.0,1014.0
75,Male,49,27528,SUV,10,1,Rural,844,Standard,1000,1.5,1.1,1.1,1.0,907.5000000000002
61,Male,3,22871,Convertible,2,1,Urban,841,Premium,250,1.5,1.4,1.3,1.2,1638.0
43,Male,61,26776,Truck,13,1,Urban,331,Basic,500,1.5,1.3,1.0,1.0,975.0
67,Female,50,13008,Truck,14,0,Suburban,702,Standard,500,1.2,1.3,1.1,1.0,858.0000000000001
51,Male,15,13438,Sedan,16,0,Urban,557,Premium,500,1.5,1.6,1.3,1.0,1560.0
76,Female,26,28482,SUV,0,1,Suburban,412,Standard,500,1.2,1.1,1.1,1.0,726.0000000000001
73,Male,10,18094,SUV,16,1,Rural,399,Standard,250,1.5,1.1,1.1,1.0,907.5000000000002
31,Male,17,5788,Convertible,2,0,Urban,725,Basic,250,1.5,1.4,1.0,1.0,1050.0
69,Male,62,5194,Truck,20,0,Rural,415,Standard,1000,1.5,1.3,1.1,0.8,858.0
70,Male,58,8550,Truck,18,0,Suburban,529,Premium,500,1.5,1.3,1.3,1.0,1267.5
63,Male,2,18939,Convertible,0,1,Urban,313,Premium,100,1.5,1.4,1.3,1.0,1365.0
25,Female,51,10992,Convertible,12,0,Rural,397,Basic,500,1.2,1.4,1.0,1.0,840.0
33,Male,8,24485,SUV,7,1,Rural,607,Premium,500,1.5,1.1,1.3,1.0,1072.5000000000002
37,Female,11,8265,Truck,8,0,Urban,332,Premium,250,1.2,1.3,1.3,1.0,1014.0
75,Male,47,28873,Truck,9,1,Rural,641,Basic,500,1.5,1.3,1.0,1.0,975.0
78,Female,28,7931,Convertible,9,0,Urban,543,Basic,1000,1.2,1.4,1.0,1.0,840.0
69,Female,43,12846,Truck,5,0,Suburban,653,Basic,100,1.2,1.3,1.0,1.0,780.0
69,Male,57,6660,Convertible,12,1,Urban,509,Basic,500,1.5,1.4,1.0,1.0,1050.0
52,Male,8,10039,SUV,2,0,Rural,438,Basic,500,1.5,1.1,1.0,1.0,825.0000000000001
49,Female,1,18515,Sedan,20,0,Rural,640,Standard,250,1.2,1.6,1.1,1.0,1056.0
44,Male,31,14348,SUV,5,0,Rural,725,Standard,500,1.5,1.1,1.1,1.0,907.5000000000002
61,Female,48,15884,Sedan,8,1,Urban,764,Premium,500,1.2,1.6,1.3,1.2,1497.6
71,Female,17,19650,SUV,0,0,Suburban,518,Basic,500,1.2,1.1,1.0,1.0,660.0
22,Female,22,11037,Sedan,18,0,Rural,572,Standard,250,1.2,1.6,1.1,1.0,1056.0
75,Female,56,11300,Convertible,1,1,Rural,756,Premium,100,1.2,1.4,1.3,1.2,1310.3999999999999
43,Female,46,5256,Sedan,20,0,Rural,468,Basic,250,1.2,1.6,1.0,1.0,960.0
68,Female,38,23740,Sedan,11,1,Urban,554,Premium,1000,1.2,1.6,1.3,1.0,1248.0
43,Male,4,28357,Sedan,6,1,Rural,345,Basic,1000,1.5,1.6,1.0,1.0,1200.0
38,Male,51,15283,Convertible,20,0,Urban,638,Standard,1000,1.5,1.4,1.1,1.0,1155.0
18,Female,46,24357,SUV,4,0,Rural,511,Basic,250,1.2,1.1,1.0,1.0,660.0
73,Male,31,27019,SUV,13,0,Urban,529,Premium,1000,1.5,1.1,1.3,1.0,1072.5000000000002
28,Female,47,29792,Convertible,15,0,Suburban,703,Standard,100,1.2,1.4,1.1,1.0,924.0000000000001
48,Male,18,24994,SUV,15,0,Urban,845,Basic,100,1.5,1.1,1.0,1.0,825.0000000000001
67,Male,61,27902,SUV,10,0,Suburban,390,Basic,500,1.5,1.1,1.0,1.0,825.0000000000001
29,Male,36,19936,SUV,7,2,Urban,739,Basic,500,1.5,1.1,1.0,1.5,1237.5000000000002
74,Male,47,5022,SUV,4,0,Suburban,525,Premium,1000,1.5,1.1,1.3,1.0,1072.5000000000002
46,Male,41,17708,Truck,12,0,Suburban,700,Basic,100,1.5,1.3,1.0,1.0,975.0
30,Female,43,18670,SUV,7,0,Urban,513,Basic,1000,1.2,1.1,1.0,1.0,660.0
71,Female,42,13830,Convertible,19,0,Urban,774,Standard,250,1.2,1.4,1.1,1.0,924.0000000000001
68,Female,37,26227,Convertible,18,0,Suburban,814,Standard,500,1.2,1.4,1.1,1.0,924.0000000000001
26,Female,58,16426,Sedan,1,1,Suburban,823,Standard,500,1.2,1.6,1.1,1.0,1056.0
23,Female,36,19068,Convertible,18,2,Urban,679,Premium,250,1.2,1.4,1.3,1.5,1638.0
23,Male,43,16456,SUV,11,0,Rural,798,Standard,1000,1.5,1.1,1.1,1.0,907.5000000000002
55,Male,28,28074,Convertible,4,1,Urban,373,Premium,500,1.5,1.4,1.3,1.0,1365.0
67,Female,53,17015,Sedan,14,0,Urban,660,Basic,500,1.2,1.6,1.0,1.0,960.0
28,Male,37,6691,Sedan,4,0,Rural,344,Premium,1000,1.5,1.6,1.3,1.0,1560.0
65,Female,52,13808,Convertible,5,0,Rural,638,Basic,100,1.2,1.4,1.0,1.0,840.0
18,Female,10,18890,Sedan,10,0,Rural,308,Basic,1000,1.2,1.6,1.0,1.0,960.0
70,Male,52,10571,Truck,11,0,Suburban,503,Standard,500,1.5,1.3,1.1,1.0,1072.5
65,Female,10,11817,Truck,2,0,Suburban,645,Basic,500,1.2,1.3,1.0,1.0,780.0
37,Female,54,27102,Sedan,4,0,Urban,848,Premium,100,1.2,1.6,1.3,1.2,1497.6
70,Female,38,29779,Sedan,18,0,Rural,623,Basic,100,1.2,1.6,1.0,1.0,960.0
69,Female,44,26882,Truck,3,0,Rural,581,Premium,250,1.2,1.3,1.3,1.0,1014.0
44,Male,58,12501,Convertible,19,0,Suburban,551,Premium,100,1.5,1.4,1.3,1.0,1365.0
31,Female,3,6362,Sedan,14,0,Urban,499,Basic,500,1.2,1.6,1.0,1.0,960.0
42,Male,56,28046,Convertible,9,0,Urban,603,Basic,1000,1.5,1.4,1.0,1.0,1050.0
60,Male,18,27911,Convertible,5,1,Rural,354,Basic,100,1.5,1.4,1.0,1.0,1050.0
36,Female,51,29293,SUV,9,1,Urban,550,Standard,1000,1.2,1.1,1.1,1.0,726.0000000000001
27,Male,24,19034,Sedan,11,0,Urban,501,Standard,250,1.5,1.6,1.1,1.0,1320.0
78,Male,59,15915,SUV,14,2,Suburban,725,Standard,500,1.5,1.1,1.1,1.0,907.5000000000002
30,Male,7,29094,Convertible,10,0,Rural,472,Premium,1000,1.5,1.4,1.3,1.0,1365.0
45,Male,40,29701,Sedan,14,0,Suburban,517,Standard,500,1.5,1.6,1.1,1.0,1320.0
31,Female,43,24874,SUV,1,1,Suburban,724,Premium,250,1.2,1.1,1.3,1.2,1029.6
26,Male,13,18790,Truck,2,1,Suburban,325,Standard,250,1.5,1.3,1.1,1.0,1072.5
72,Male,28,19195,Truck,5,0,Rural,627,Standard,500,1.5,1.3,1.1,1.0,1072.5
73,Female,2,18858,SUV,15,0,Urban,763,Basic,250,1.2,1.1,1.0,1.0,660.0
52,Female,49,14095,SUV,8,2,Urban,486,Standard,500,1.2,1.1,1.1,1.5,1089.0000000000002
21,Male,46,21410,Truck,10,0,Suburban,630,Premium,250,1.5,1.3,1.3,1.0,1267.5
24,Male,30,19625,SUV,3,0,Suburban,430,Premium,100,1.5,1.1,1.3,1.0,1072.5000000000002
32,Female,57,12123,Convertible,7,0,Suburban,844,Premium,1000,1.2,1.4,1.3,1.2,1310.3999999999999
35,Female,48,13871,SUV,15,0,Urban,335,Premium,250,1.2,1.1,1.3,1.0,858.0
27,Male,37,8497,Convertible,2,0,Rural,554,Premium,500,1.5,1.4,1.3,1.0,1365.0
35,Male,14,25798,Truck,6,1,Suburban,387,Standard,1000,1.5,1.3,1.1,0.8,858.0
38,Male,9,12949,SUV,16,1,Suburban,424,Basic,1000,1.5,1.1,1.0,1.0,825.0000000000001
73,Male,58,24797,Truck,2,0,Urban,729,Premium,1000,1.5,1.3,1.3,1.2,1521.0
59,Male,1,17641,SUV,2,2,Suburban,621,Standard,100,1.5,1.1,1.1,1.0,907.5000000000002
25,Female,8,24090,Truck,3,0,Urban,801,Standard,250,1.2,1.3,1.1,1.0,858.0000000000001
32,Female,38,29511,Truck,10,0,Urban,498,Premium,1000,1.2,1.3,1.3,0.8,811.2
39,Female,59,15970,SUV,18,0,Suburban,407,Standard,500,1.2,1.1,1.1,1.0,726.0000000000001
50,Female,54,16115,Truck,13,0,Rural,517,Premium,100,1.2,1.3,1.3,1.0,1014.0
52,Male,29,8275,Convertible,13,1,Rural,804,Premium,100,1.5,1.4,1.3,1.2,1638.0
67,Male,42,26228,Sedan,16,2,Suburban,850,Basic,500,1.5,1.6,1.0,1.0,1200.0
68,Male,24,10211,Convertible,18,1,Rural,419,Basic,250,1.5,1.4,1.0,1.0,1050.0
21,Male,25,24215,SUV,11,0,Urban,795,Basic,1000,1.5,1.1,1.0,1.0,825.0000000000001
54,Female,14,28030,Sedan,7,0,Suburban,430,Premium,1000,1.2,1.6,1.3,1.0,1248.0
47,Male,30,13720,SUV,12,0,Suburban,567,Premium,500,1.5,1.1,1.3,1.0,1072.5000000000002
75,Male,37,12564,Sedan,20,0,Suburban,620,Standard,1000,1.5,1.6,1.1,1.0,1320.0
40,Female,11,18355,Sedan,5,1,Rural,622,Standard,250,1.2,1.6,1.1,1.0,1056.0
33,Male,20,6838,Convertible,17,0,Urban,598,Standard,250,1.5,1.4,1.1,1.0,1155.0
58,Male,45,18208,SUV,7,1,Urban,698,Premium,1000,1.5,1.1,1.3,1.0,1072.5000000000002
51,Female,23,25756,Truck,1,1,Urban,726,Basic,500,1.2,1.3,1.0,1.0,780.0
55,Female,41,26286,Convertible,17,0,Urban,676,Premium,500,1.2,1.4,1.3,1.0,1092.0
35,Female,3,9670,Truck,18,0,Urban,648,Standard,500,1.2,1.3,1.1,1.0,858.0000000000001
32,Male,23,28669,Convertible,2,0,Suburban,429,Standard,500,1.5,1.4,1.1,1.0,1155.0
21,Male,62,6319,SUV,9,0,Suburban,608,Standard,500,1.5,1.1,1.1,1.0,907.5000000000002
50,Male,4,27372,Truck,8,1,Urban,585,Premium,500,1.5,1.3,1.3,1.0,1267.5
75,Female,52,10938,Sedan,7,0,Suburban,665,Basic,500,1.2,1.6,1.0,1.0,960.0
34,Female,41,6137,Convertible,0,2,Urban,463,Premium,250,1.2,1.4,1.3,1.5,1638.0
55,Female,20,20311,Truck,4,0,Suburban,816,Basic,250,1.2,1.3,1.0,1.0,780.0
22,Female,8,25797,SUV,11,1,Urban,370,Basic,500,1.2,1.1,1.0,1.0,660.0
74,Male,34,16541,Convertible,13,1,Rural,660,Basic,250,1.5,1.4,1.0,1.0,1050.0
69,Male,13,12381,Sedan,8,0,Rural,458,Standard,250,1.5,1.6,1.1,1.0,1320.0
66,Male,9,12914,Sedan,6,0,Rural,323,Basic,100,1.5,1.6,1.0,1.0,1200.0
49,Male,31,6149,Sedan,6,1,Suburban,439,Basic,1000,1.5,1.6,1.0,1.0,1200.0
42,Male,48,27366,SUV,4,0,Suburban,712,Basic,1000,1.5,1.1,1.0,1.0,825.0000000000001
79,Female,35,10062,Truck,18,0,Suburban,505,Premium,1000,1.2,1.3,1.3,0.8,811.2
30,Female,61,19582,Sedan,20,0,Suburban,489,Premium,250,1.2,1.6,1.3,1.0,1248.0
41,Male,46,17417,Convertible,11,0,Suburban,553,Basic,250,1.5,1.4,1.0,1.0,1050.0
71,Female,12,14063,SUV,0,0,Rural,768,Premium,1000,1.2,1.1,1.3,1.2,1029.6
31,Male,33,10152,Convertible,6,1,Rural,365,Standard,100,1.5,1.4,1.1,1.0,1155.0
62,Female,1,10640,Sedan,7,0,Suburban,718,Standard,500,1.2,1.6,1.1,1.0,1056.0
40,Female,30,15944,Sedan,1,0,Urban,389,Standard,100,1.2,1.6,1.1,1.0,1056.0
73,Male,52,11215,SUV,8,2,Rural,357,Standard,1000,1.5,1.1,1.1,1.0,907.5000000000002
41,Male,37,15574,Sedan,2,3,Rural,564,Premium,250,1.5,1.6,1.3,1.0,1560.0
41,Male,0,26096,Convertible,3,0,Rural,356,Standard,500,1.5,1.4,1.1,1.0,1155.0
40,Male,20,6765,SUV,20,0,Urban,765,Standard,250,1.5,1.1,1.1,1.0,907.5000000000002
36,Female,23,11703,Sedan,9,0,Urban,559,Basic,1000,1.2,1.6,1.0,1.0,960.0
42,Male,16,7031,SUV,18,1,Urban,373,Basic,1000,1.5,1.1,1.0,1.0,825.0000000000001
75,Female,51,10574,Convertible,10,1,Rural,392,Basic,100,1.2,1.4,1.0,1.0,840.0
62,Female,21,11275,SUV,11,1,Urban,357,Basic,100,1.2,1.1,1.0,1.0,660.0
30,Male,1,20892,SUV,3,2,Suburban,739,Premium,1000,1.5,1.1,1.3,1.2,1287.0000000000002
56,Female,32,14176,Sedan,18,0,Rural,674,Premium,500,1.2,1.6,1.3,1.0,1248.0
64,Male,1,5594,SUV,7,1,Rural,826,Standard,100,1.5,1.1,1.1,1.0,907.5000000000002
29,Female,54,11443,SUV,20,1,Rural,641,Basic,500,1.2,1.1,1.0,1.0,660.0
31,Male,20,18501,Sedan,15,2,Rural,641,Basic,250,1.5,1.6,1.0,1.0,1200.0
18,Female,29,28435,Sedan,18,0,Rural,462,Standard,100,1.2,1.6,1.1,1.0,1056.0
33,Male,19,5134,Sedan,9,2,Suburban,792,Premium,1000,1.5,1.6,1.3,1.2,1872.0
80,Male,43,28592,Truck,4,0,Suburban,438,Basic,100,1.5,1.3,1.0,1.0,975.0
66,Female,19,17194,Convertible,17,1,Rural,803,Standard,250,1.2,1.4,1.1,1.0,924.0000000000001
58,Male,4,25044,Sedan,19,1,Suburban,520,Basic,250,1.5,1.6,1.0,1.0,1200.0
77,Female,54,23064,Convertible,3,0,Rural,402,Standard,250,1.2,1.4,1.1,1.0,924.0000000000001
43,Female,45,18298,Truck,1,1,Rural,430,Premium,500,1.2,1.3,1.3,1.0,1014.0
51,Male,28,12743,Convertible,17,0,Urban,748,Standard,100,1.5,1.4,1.1,1.0,1155.0
59,Female,36,5253,SUV,18,1,Urban,692,Premium,100,1.2,1.1,1.3,1.0,858.0
44,Female,9,22580,SUV,5,0,Rural,617,Standard,1000,1.2,1.1,1.1,1.0,726.0000000000001
61,Male,1,7055,Truck,4,0,Suburban,370,Standard,500,1.5,1.3,1.1,1.0,1072.5
29,Female,54,26483,SUV,8,0,Rural,791,Standard,100,1.2,1.1,1.1,1.0,726.0000000000001
47,Female,0,14753,SUV,14,1,Urban,832,Standard,250,1.2,1.1,1.1,1.0,726.0000000000001
73,Female,41,16063,SUV,16,0,Suburban,456,Basic,100,1.2,1.1,1.0,1.0,660.0
28,Female,58,22453,Sedan,3,0,Urban,765,Premium,100,1.2,1.6,1.3,1.2,1497.6
39,Female,48,20422,Sedan,11,1,Rural,751,Premium,250,1.2,1.6,1.3,1.2,1497.6
42,Male,44,12264,Truck,17,1,Rural,384,Standard,250,1.5,1.3,1.1,1.0,1072.5
31,Male,13,12060,Convertible,0,2,Rural,620,Standard,250,1.5,1.4,1.1,1.0,1155.0
51,Male,51,6233,Convertible,7,0,Urban,554,Premium,500,1.5,1.4,1.3,1.0,1365.0
62,Female,25,11569,SUV,20,1,Suburban,742,Basic,100,1.2,1.1,1.0,1.0,660.0
27,Female,58,10745,SUV,4,1,Rural,741,Premium,500,1.2,1.1,1.3,1.2,1029.6
63,Male,45,19913,Sedan,15,1,Rural,381,Premium,1000,1.5,1.6,1.3,1.0,1560.0
53,Male,56,11006,Truck,9,0,Urban,843,Premium,100,1.5,1.3,1.3,1.2,1521.0
52,Female,23,27194,SUV,10,0,Urban,355,Basic,500,1.2,1.1,1.0,1.0,660.0
55,Female,54,28191,Convertible,13,0,Rural,392,Standard,500,1.2,1.4,1.1,1.0,924.0000000000001
41,Female,25,5599,Convertible,10,1,Urban,469,Standard,100,1.2,1.4,1.1,1.0,924.0000000000001
60,Female,45,12745,Convertible,20,0,Urban,320,Premium,500,1.2,1.4,1.3,1.0,1092.0
61,Male,24,13827,Truck,0,0,Suburban,658,Standard,100,1.5,1.3,1.1,1.0,1072.5
79,Male,35,17387,Truck,18,0,Suburban,628,Premium,100,1.5,1.3,1.3,1.0,1267.5
71,Female,61,5458,Sedan,1,0,Rural,711,Premium,500,1.2,1.6,1.3,1.2,1497.6
61,Male,52,16761,Truck,2,1,Urban,324,Basic,250,1.5,1.3,1.0,1.0,975.0
20,Female,29,5479,Sedan,10,1,Urban,731,Standard,100,1.2,1.6,1.1,1.0,1056.0
56,Male,32,18148,Sedan,11,0,Suburban,351,Premium,500,1.5,1.6,1.3,1.0,1560.0
61,Male,28,12096,Sedan,12,0,Urban,591,Basic,250,1.5,1.6,1.0,1.0,1200.0
64,Male,30,21344,Sedan,15,1,Urban,635,Basic,1000,1.5,1.6,1.0,1.0,1200.0
19,Female,31,5820,Sedan,2,0,Rural,303,Standard,100,1.2,1.6,1.1,1.0,1056.0
60,Female,28,9172,SUV,13,0,Rural,717,Standard,250,1.2,1.1,1.1,1.0,726.0000000000001
47,Female,11,16267,Convertible,5,0,Suburban,783,Premium,500,1.2,1.4,1.3,1.2,1310.3999999999999
76,Male,12,15703,Truck,14,0,Rural,760,Basic,100,1.5,1.3,1.0,1.0,975.0
49,Male,24,5335,Convertible,3,1,Urban,426,Standard,500,1.5,1.4,1.1,1.0,1155.0
22,Male,34,23713,Convertible,20,0,Rural,464,Basic,250,1.5,1.4,1.0,1.0,1050.0
64,Female,25,24776,Truck,11,0,Suburban,648,Standard,500,1.2,1.3,1.1,1.0,858.0000000000001
43,Female,33,14161,Sedan,16,1,Suburban,824,Premium,100,1.2,1.6,1.3,1.2,1497.6
73,Male,21,13405,Sedan,6,0,Urban,586,Basic,250,1.5,1.6,1.0,1.0,1200.0
63,Male,1,15925,Truck,4,1,Suburban,428,Standard,250,1.5,1.3,1.1,1.0,1072.5
59,Male,33,7459,Convertible,9,0,Suburban,780,Basic,1000,1.5,1.4,1.0,1.0,1050.0
74,Male,18,28813,Truck,12,0,Urban,604,Standard,100,1.5,1.3,1.1,1.0,1072.5
25,Female,9,12981,Truck,11,4,Rural,473,Basic,500,1.2,1.3,1.0,1.0,780.0
62,Female,44,20388,Truck,16,1,Urban,327,Standard,250,1.2,1.3,1.1,1.0,858.0000000000001
21,Male,49,28023,Truck,13,0,Rural,723,Basic,100,1.5,1.3,1.0,1.0,975.0
76,Female,56,27305,Sedan,8,0,Suburban,766,Premium,1000,1.2,1.6,1.3,1.2,1497.6
57,Male,29,20539,SUV,15,0,Urban,681,Basic,100,1.5,1.1,1.0,1.0,825.0000000000001
25,Male,25,29691,Sedan,6,0,Suburban,407,Basic,1000,1.5,1.6,1.0,1.0,1200.0
38,Female,33,20089,Truck,1,1,Rural,579,Premium,100,1.2,1.3,1.3,1.0,1014.0
42,Male,19,7549,Truck,13,0,Rural,324,Premium,1000,1.5,1.3,1.3,0.8,1014.0
42,Male,26,26917,SUV,9,1,Suburban,324,Premium,250,1.5,1.1,1.3,1.0,1072.5000000000002
51,Male,54,24260,Truck,16,0,Rural,657,Standard,500,1.5,1.3,1.1,1.0,1072.5
68,Female,16,10172,SUV,15,1,Suburban,657,Standard,100,1.2,1.1,1.1,1.0,726.0000000000001
34,Female,0,15868,Convertible,5,0,Rural,681,Standard,1000,1.2,1.4,1.1,1.0,924.0000000000001
77,Male,60,5604,Sedan,2,0,Urban,667,Basic,250,1.5,1.6,1.0,1.0,1200.0
27,Female,22,8676,Truck,8,0,Rural,496,Standard,250,1.2,1.3,1.1,1.0,858.0000000000001
46,Female,7,17713,Truck,11,0,Rural,532,Premium,100,1.2,1.3,1.3,1.0,1014.0
32,Female,39,7584,SUV,9,0,Suburban,742,Standard,100,1.2,1.1,1.1,1.0,726.0000000000001
48,Female,50,27409,Sedan,18,1,Rural,530,Basic,1000,1.2,1.6,1.0,1.0,960.0
63,Male,30,27350,Convertible,20,1,Rural,349,Standard,1000,1.5,1.4,1.1,1.0,1155.0
28,Male,40,14233,Convertible,16,1,Urban,450,Basic,500,1.5,1.4,1.0,1.0,1050.0
51,Female,41,21627,SUV,17,0,Rural,753,Basic,100,1.2,1.1,1.0,1.0,660.0
46,Female,56,28127,Truck,7,0,Rural,532,Standard,250,1.2,1.3,1.1,1.0,858.0000000000001
79,Female,49,22102,Convertible,17,0,Urban,794,Standard,250,1.2,1.4,1.1,1.0,924.0000000000001
24,Female,6,14004,Sedan,18,0,Urban,549,Standard,100,1.2,1.6,1.1,1.0,1056.0
58,Female,54,27834,Convertible,8,0,Urban,340,Basic,1000,1.2,1.4,1.0,1.0,840.0
24,Male,11,13671,Truck,8,0,Rural,760,Premium,1000,1.5,1.3,1.3,1.2,1521.0
58,Female,40,14497,Sedan,5,0,Suburban,324,Standard,1000,1.2,1.6,1.1,1.0,1056.0
39,Male,51,22786,Sedan,8,0,Rural,745,Basic,100,1.5,1.6,1.0,1.0,1200.0
67,Male,53,9498,SUV,3,1,Urban,372,Premium,250,1.5,1.1,1.3,1.0,1072.5000000000002
42,Male,47,14114,Sedan,18,1,Suburban,562,Basic,250,1.5,1.6,1.0,1.0,1200.0
67,Male,45,29483,SUV,14,1,Suburban,557,Premium,1000,1.5,1.1,1.3,1.0,1072.5000000000002
73,Male,29,8663,Truck,5,0,Rural,441,Basic,500,1.5,1.3,1.0,1.0,975.0
33,Male,19,26582,SUV,10,0,Rural,316,Premium,100,1.5,1.1,1.3,1.0,1072.5000000000002
29,Female,62,18279,Convertible,12,1,Urban,530,Standard,100,1.2,1.4,1.1,1.0,924.0000000000001
64,Male,55,19173,SUV,4,1,Suburban,697,Premium,250,1.5,1.1,1.3,1.0,1072.5000000000002
42,Male,22,26419,Truck,5,0,Suburban,739,Basic,100,1.5,1.3,1.0,1.0,975.0
36,Male,35,20713,Convertible,15,1,Suburban,413,Standard,500,1.5,1.4,1.1,1.0,1155.0
42,Male,40,29452,SUV,13,0,Suburban,621,Premium,250,1.5,1.1,1.3,1.0,1072.5000000000002
41,Male,0,24621,Sedan,5,0,Urban,536,Premium,500,1.5,1.6,1.3,1.0,1560.0
52,Male,22,13034,SUV,13,1,Suburban,513,Basic,100,1.5,1.1,1.0,1.0,825.0000000000001
23,Male,11,9975,Convertible,1,0,Suburban,374,Premium,100,1.5,1.4,1.3,1.0,1365.0
32,Male,44,11251,Sedan,19,0,Urban,403,Premium,250,1.5,1.6,1.3,1.0,1560.0
73,Female,17,21036,Convertible,3,2,Suburban,683,Premium,100,1.2,1.4,1.3,1.0,1092.0
49,Female,13,12767,Convertible,17,1,Urban,674,Basic,250,1.2,1.4,1.0,1.0,840.0
65,Female,60,14477,Convertible,17,2,Rural,551,Standard,100,1.2,1.4,1.1,1.0,924.0000000000001
75,Female,15,16990,Truck,16,2,Suburban,731,Basic,250,1.2,1.3,1.0,1.0,780.0
57,Male,2,23322,Convertible,2,0,Suburban,797,Basic,100,1.5,1.4,1.0,1.0,1050.0
68,Male,11,26933,Truck,18,2,Urban,432,Premium,100,1.5,1.3,1.3,1.5,1901.25
74,Female,44,29460,Truck,19,0,Suburban,723,Standard,1000,1.2,1.3,1.1,0.8,686.4000000000001
56,Male,56,7328,Sedan,17,0,Suburban,568,Standard,250,1.5,1.6,1.1,1.0,1320.0
72,Female,55,8726,SUV,14,1,Urban,662,Premium,500,1.2,1.1,1.3,1.0,858.0
70,Female,2,10525,Sedan,16,2,Rural,450,Basic,500,1.2,1.6,1.0,1.0,960.0
35,Male,41,21600,Truck,13,0,Suburban,424,Basic,500,1.5,1.3,1.0,1.0,975.0
80,Female,51,20622,SUV,1,0,Urban,601,Standard,500,1.2,1.1,1.1,1.0,726.0000000000001
52,Male,27,29530,Truck,4,0,Urban,502,Basic,500,1.5,1.3,1.0,1.0,975.0
58,Female,48,28562,Truck,6,1,Urban,656,Basic,250,1.2,1.3,1.0,1.0,780.0
18,Male,35,15085,Truck,15,0,Urban,305,Basic,500,1.5,1.3,1.0,1.0,975.0
37,Male,34,12380,SUV,3,0,Suburban,778,Standard,500,1.5,1.1,1.1,1.0,907.5000000000002
56,Male,23,17592,Truck,18,0,Urban,332,Premium,100,1.5,1.3,1.3,1.0,1267.5
45,Female,13,21925,Truck,3,1,Rural,583,Standard,100,1.2,1.3,1.1,1.0,858.0000000000001
46,Male,60,12758,SUV,3,0,Urban,730,Premium,100,1.5,1.1,1.3,1.2,1287.0000000000002
23,Male,35,8823,SUV,9,0,Suburban,610,Basic,500,1.5,1.1,1.0,1.0,825.0000000000001
43,Male,48,14221,Sedan,18,0,Rural,316,Basic,500,1.5,1.6,1.0,1.0,1200.0
21,Female,24,26138,SUV,1,2,Rural,776,Premium,100,1.2,1.1,1.3,1.2,1029.6
24,Male,38,12358,SUV,9,0,Rural,403,Basic,500,1.5,1.1,1.0,1.0,825.0000000000001
38,Male,43,20803,Convertible,18,2,Urban,679,Basic,250,1.5,1.4,1.0,1.5,1575.0
28,Male,54,15762,Convertible,0,3,Suburban,519,Basic,500,1.5,1.4,1.0,1.0,1050.0
19,Female,0,8200,SUV,20,0,Suburban,828,Premium,250,1.2,1.1,1.3,1.2,1029.6
57,Female,51,10161,Convertible,1,0,Suburban,738,Premium,500,1.2,1.4,1.3,1.2,1310.3999999999999
75,Male,55,20666,Truck,0,0,Suburban,841,Premium,1000,1.5,1.3,1.3,1.2,1521.0
39,Female,9,27215,Truck,16,0,Rural,495,Premium,100,1.2,1.3,1.3,1.0,1014.0
31,Female,20,19565,SUV,6,0,Urban,610,Standard,500,1.2,1.1,1.1,1.0,726.0000000000001
55,Female,17,5323,Sedan,6,0,Rural,451,Basic,100,1.2,1.6,1.0,1.0,960.0
29,Male,27,15313,Truck,10,0,Suburban,473,Basic,1000,1.5,1.3,1.0,0.8,780.0
72,Male,17,11005,Truck,11,0,Suburban,594,Premium,1000,1.5,1.3,1.3,0.8,1014.0
43,Male,25,7812,Convertible,20,1,Rural,373,Premium,100,1.5,1.4,1.3,1.0,1365.0
73,Male,40,16013,Sedan,5,1,Rural,727,Basic,100,1.5,1.6,1.0,1.0,1200.0
72,Female,1,16193,Sedan,14,0,Rural,399,Premium,100,1.2,1.6,1.3,1.0,1248.0
71,Male,48,17501,SUV,6,1,Suburban,630,Basic,250,1.5,1.1,1.0,1.0,825.0000000000001
22,Female,28,28518,Sedan,3,0,Suburban,655,Standard,250,1.2,1.6,1.1,1.0,1056.0
59,Female,15,18673,Convertible,9,0,Rural,769,Premium,500,1.2,1.4,1.3,1.2,1310.3999999999999
18,Female,42,17681,Sedan,10,1,Urban,370,Premium,250,1.2,1.6,1.3,1.0,1248.0
48,Female,19,27643,SUV,11,0,Urban,642,Premium,250,1.2,1.1,1.3,1.0,858.0
70,Male,5,16382,SUV,4,0,Rural,577,Basic,250,1.5,1.1,1.0,1.0,825.0000000000001
55,Female,26,12237,SUV,8,0,Rural,761,Premium,100,1.2,1.1,1.3,1.2,1029.6
46,Female,35,26474,Truck,2,1,Suburban,780,Standard,250,1.2,1.3,1.1,1.0,858.0000000000001
